admissions,answerurl,belong,central,city_id,city_name,code_enroll,colleges_level,county_id,county_name,department,doublehigh,dual_class,dual_class_name,f211,f985,hightitle,inner_rate,is_recruitment,level,level_name,name,nature,nature_name,outer_rate,province_id,province_name,rank,rank_type,rate,recommend_master_level,school_id,school_type,tag_name,town_name,type,type_name,upgrading_level,view_month,view_total,view_total_number,view_week
1,https://answer.eol.cn/fillmess/index?id=639&source=zsgk_app,教育部,2,1201,天津市,1005600,,120104,南开区,1,0,38000,双一流,1,1,天津大学,0,1,2001,普通本科,天津大学,36000,公办,0,12,天津,,,0,0,60,6000,教育部直属,南开区,5000,综合类,0,14550,1854.3w,18542602,5553
1,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,1201,天津市,1005500,,120104,南开区,1,0,38000,双一流,1,1,南开大学,0,1,2001,普通本科,南开大学,36000,公办,0,12,天津,,,0,0,59,6000,教育部直属,南开区,5000,综合类,0,16011,1280.4w,12804002,6417
1,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,3701,济南市,1042200,,370112,历城区,1,0,38000,双一流,1,1,山东大学,0,1,2001,普通本科,山东大学,36000,公办,0,37,山东,,,0,0,126,6000,教育部直属,历城区,5000,综合类,0,28131,1978.4w,19783936,10743
1,,工业和信息化部,1,6101,西安市,1069900,,610103,碑林区,2,0,38000,双一流,1,1,西北工业大学,0,1,2001,普通本科,西北工业大学,36000,公办,0,61,陕西,,,0,0,107,6000,中央部委院,碑林区,5001,理工类,0,17748,1343.9w,13439284,7047
1,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,3502,厦门市,1038400,,350203,思明区,1,0,38000,双一流,1,1,厦门大学,0,1,2001,普通本科,厦门大学,36000,公办,0,35,福建,,,0,3.5,102,6000,教育部直属,思明区,5000,综合类,0,24852,4226.6w,42266171,9018
1,https://answer.eol.cn/fillmess/index?id=698&source=zsgk_app,教育部,2,4301,长沙市,1053300,,0,,1,0,38000,双一流,1,1,中南大学,0,1,2001,普通本科,中南大学,36000,公办,0,43,湖南,,,0,3,123,6000,教育部直属,,5000,综合类,0,21111,2353.8w,23537708,8040
1,,教育部,2,2201,长春市,1018300,,220104,朝阳区,1,0,38000,双一流,1,1,吉林大学,0,1,2001,普通本科,吉林大学,36000,公办,0,22,吉林,,,0,3,122,6000,教育部直属,朝阳区,5000,综合类,0,6142,1569.4w,15693533,2338
1,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,1101,北京市,1001900,,110108,海淀区,1,0,38000,双一流,1,1,中国农业大学,0,1,2001,普通本科,中国农业大学,36000,公办,0,11,北京,,,0,3.5,557,6000,教育部直属,海淀区,5002,农林类,0,12837,868.7w,8686706,4971
1,https://answer.eol.cn/fillmess/index?id=713&source=zsgk_app,教育部,2,2102,大连市,1014100,,210211,甘井子区,1,0,38000,双一流,1,1,大连理工大学,0,1,2001,普通本科,大连理工大学,36000,公办,0,21,辽宁,,,0,0,138,6000,教育部直属,甘井子区,5001,理工类,0,17586,1641.6w,16416327,6288
1,https://answer.eol.cn/fillmess/index?id=706&source=zsgk_app,教育部,2,3101,上海市,1026900,,310112,闵行区,1,0,38000,双一流,1,1,华东师范大学,0,1,2001,普通本科,华东师范大学,36000,公办,0,31,上海,,,0,0,131,6000,教育部直属,闵行区,5004,师范类,0,14946,1186.2w,11861514,5847
1,https://answer.eol.cn/fillmess/index?id=683&source=zsgk_app,教育部,2,4401,广州市,1056100,,440106,天河区,1,0,38000,双一流,1,1,华南理工大学,0,1,2001,普通本科,华南理工大学,36000,公办,0,44,广东,,,0,0,105,6000,教育部直属,天河区,5000,综合类,0,21867,1836.6w,18366264,8715
1,https://answer.eol.cn/fillmess/index?id=1189&source=zsgk_app,教育部,2,5101,成都市,1061400,,510108,成华区,1,0,38000,双一流,1,1,电子科技大学,0,1,2001,普通本科,电子科技大学,36000,公办,0,51,四川,,,0,3.5,661,6000,教育部直属,成华区,5001,理工类,0,21189,2159.2w,21591618,8550
1,https://answer.eol.cn/question/index?id=623&source=zsgk_app,教育部,2,4301,长沙市,1053200,,430104,岳麓区,1,0,38000,双一流,1,1,湖南大学,0,1,2001,普通本科,湖南大学,36000,公办,0,43,湖南,,,0,3,44,6000,教育部直属,岳麓区,5000,综合类,0,14802,1914w,19139993,5706
1,https://answer.eol.cn/fillmess/index?id=696&source=zsgk_app,教育部,2,5001,重庆市,1061100,,500106,沙坪坝区,1,0,38000,双一流,1,1,重庆大学,0,1,2001,普通本科,重庆大学,36000,公办,0,50,重庆,,,0,3,119,6000,教育部直属,沙坪坝区,5000,综合类,0,19008,1940.4w,19404470,7206
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,广东省,2,4403,深圳市,1432500,,0,,2,0,38000,双一流,2,2,南方科技大学,0,1,2001,普通本科,南方科技大学,36000,公办,0,44,广东,,,0,0,2941,6000,,,5001,理工类,0,16824,423w,4229917,6654
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,1101,北京市,1000800,,110108,海淀区,1,0,38000,双一流,1,2,北京科技大学,0,1,2001,普通本科,北京科技大学,36000,公办,0,11,北京,,,0,3,144,6000,教育部直属,海淀区,5001,理工类,0,9558,808.3w,8082558,3999
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,3101,上海市,1027200,,310110,杨浦区,1,0,38000,双一流,1,2,上海财经大学,0,1,2001,普通本科,上海财经大学,36000,公办,0,31,上海,,,0,0,130,6000,教育部直属,杨浦区,5006,财经类,0,9855,1222.4w,12224154,3834
2,https://answer.eol.cn/fillmess/index?id=656&source=zsgk_app,工业和信息化部,1,3201,南京市,1028700,,320104,秦淮区,2,0,38000,双一流,1,2,南京航空航天大学,0,1,2001,普通本科,南京航空航天大学,36000,公办,0,32,江苏,,,0,0,77,6000,中央部委院,秦淮区,5001,理工类,0,18072,1221.9w,12218553,7170
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,工业和信息化部,1,3201,南京市,1028800,,320102,玄武区,2,0,38000,双一流,1,2,南京理工大学,0,1,2001,普通本科,南京理工大学,36000,公办,0,32,江苏,,,0,0,112,6000,中央部委院,玄武区,5001,理工类,0,16800,1022.4w,10223586,6795
1,https://answer.eol.cn/fillmess/index?id=675&source=zsgk_app,教育部,2,6201,兰州市,1073000,,620102,城关区,1,0,38000,双一流,1,1,兰州大学,0,1,2001,普通本科,兰州大学,36000,公办,0,62,甘肃,,,0,0,97,6000,教育部直属,城关区,5000,综合类,0,14196,1253.5w,12535370,5367
1,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,2101,沈阳市,1014500,,210102,和平区,1,0,38000,双一流,1,1,东北大学,0,1,2001,普通本科,东北大学,36000,公办,0,21,辽宁,,,0,0,134,6000,教育部直属,和平区,5001,理工类,0,13383,1414.2w,14141764,5280
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,北京市,2,1101,北京市,1002500,,110106,丰台区,2,0,38003,,2,2,首都医科大学,0,1,2001,普通本科,首都医科大学,36000,公办,0,11,北京,,,0,0,584,6000,,丰台区,5003,医药类,0,7611,648w,6479938,3090
2,https://answer.eol.cn/fillmess/index?id=636&source=zsgk_app,教育部,2,6101,西安市,1070100,,610113,雁塔区,1,0,38000,双一流,1,2,西安电子科技大学,0,1,2001,普通本科,西安电子科技大学,36000,公办,0,61,陕西,,,0,0,57,6000,教育部直属,雁塔区,5001,理工类,0,16206,1324.7w,13247066,6489
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,1101,北京市,1000400,,110108,海淀区,1,0,38000,双一流,1,2,北京交通大学,0,1,2001,普通本科,北京交通大学,36000,公办,0,11,北京,,,0,0,38,6000,教育部直属,海淀区,5001,理工类,0,11409,883.3w,8832880,4962
2,,上海市 中国科学院,2,3101,上海市,1442300,,310115,浦东新区,2,0,38000,双一流,2,2,上海科技大学,0,1,2001,普通本科,上海科技大学,36000,公办,0,31,上海,,,0,5,3151,6000,,浦东新区,5001,理工类,0,3477,150.3w,1503265,1530
2,,江苏省,2,3205,苏州市,1028500,,0,,2,0,38000,双一流,1,2,苏州大学,0,1,2001,普通本科,苏州大学,36000,公办,0,32,江苏,,,0,2,118,6000,,,5000,综合类,0,25212,1710.9w,17109024,10386
2,https://answer.eol.cn/fillmess/index?id=708&source=zsgk_app,教育部,2,3101,上海市,1025100,,310104,徐汇区,1,0,38000,双一流,1,2,华东理工大学,0,1,2001,普通本科,华东理工大学,36000,公办,0,31,上海,,,0,0,133,6000,教育部直属,徐汇区,5001,理工类,0,10542,1167w,11669633,4170
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,1101,北京市,1003400,,110108,海淀区,1,0,38000,双一流,1,2,中央财经大学,0,1,2001,普通本科,中央财经大学,36000,公办,0,11,北京,,,0,0,566,6000,教育部直属,海淀区,5006,财经类,0,8760,985.8w,9858379,3669
2,https://answer.eol.cn/fillmess/index?id=699&source=zsgk_app,工业和信息化部,1,2301,哈尔滨市,1021700,,230103,南岗区,2,0,38000,双一流,1,2,哈尔滨工程大学,0,1,2001,普通本科,哈尔滨工程大学,36000,公办,0,23,黑龙江,,,0,3,124,6000,中央部委院,南岗区,5001,理工类,0,12198,1391.1w,13910668,5067
2,https://answer.eol.cn/fillmess/index?id=718&source=zsgk_app,教育部,2,2201,长春市,1020000,,220102,南关区,1,0,38000,双一流,1,2,东北师范大学,0,1,2001,普通本科,东北师范大学,36000,公办,0,22,吉林,,,0,3.5,142,6000,教育部直属,南关区,5004,师范类,0,8796,896.6w,8966346,3810
2,https://answer.eol.cn/fillmess/index?id=1439&source=zsgk_app,广东省,2,4401,广州市,1212100,,440111,白云区,2,0,38003,,2,2,南方医科大学,50.15,1,2001,普通本科,南方医科大学,36000,公办,2.84,44,广东,,,88.14,1.5,960,6000,,白云区,5003,医药类,0,8112,676.3w,6763410,3255
2,https://answer.eol.cn/fillmess/index?id=976&source=zsgk_app,教育部,2,4201,武汉市,1050400,,420111,洪山区,1,0,38000,双一流,1,2,华中农业大学,0,1,2001,普通本科,华中农业大学,36000,公办,0,42,湖北,,,0,2.5,417,6000,教育部直属,洪山区,5002,农林类,0,6753,655.1w,6551390,2667
2,https://answer.eol.cn/fillmess/index?id=3293&source=zsgk_app,教育部,2,1101,北京市,1141400,,110114,昌平区,1,0,38000,双一流,1,2,中国石油大学（北京）,0,1,2001,普通本科,中国石油大学（北京）,36000,公办,0,11,北京,,,0,3.5,832,6000,教育部直属,昌平区,5001,理工类,0,4995,489.1w,4891225,1977
2,,江苏省,2,3201,南京市,1031200,,320115,江宁区,2,0,38000,双一流,2,2,南京医科大学,0,1,2001,普通本科,南京医科大学,36000,公办,0,32,江苏,,,0,0,168,6000,,江宁区,5003,医药类,0,3691,372.3w,3723258,1405
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,广东省教育厅,2,4403,深圳市,1640700,,440307,龙岗区,2,0,38003,,2,2,香港中文大学（深圳）,0,1,2001,普通本科,香港中文大学（深圳）,36003,内地与港澳台地区合作办学,0,44,广东,,,0,0,3202,6000,,龙岗区,5000,综合类,0,6789,130.7w,1307340,2847
